Date,Time,date_time,visibility,sea_level_pressure,relative_humidity,wind_speed,,air_temp,wind_direction
12/30/19,10:52AM,12/30/19-10:52AM,10,1016.2,59.6,4.61,1016.28,55.94,60
12/30/19,09:52AM,12/30/19-09:52AM,10,1016.7,66.54,3.44,1016.62,55.94,
12/30/19,08:52AM,12/30/19-08:52AM,10,1016.7,69.32,0,1016.96,55.94,0
12/30/19,07:52AM,12/30/19-07:52AM,9,1017.3,76.99,0,1017.33,53.06,0
12/30/19,06:52AM,12/30/19-06:52AM,10,1017.9,74.5,0,1018,53.96,0
12/30/19,05:52AM,12/30/19-05:52AM,10,1017.9,71.62,0,1017.99,55.04,0
12/30/19,04:52AM,12/30/19-04:52AM,10,1018.1,71.62,0,1018.32,55.04,0
12/30/19,03:52AM,12/30/19-03:52AM,10,1018,69.32,0,1017.97,55.94,0
12/30/19,02:52AM,12/30/19-02:52AM,10,1018.1,66.54,0,1018.31,55.94,0
12/30/19,01:52AM,12/30/19-01:52AM,10,1018.9,62.1,0,1018.95,59,0
12/30/19,12:52AM,12/30/19-12:52AM,10,1019.2,55.42,3.44,1019.28,60.08,260
12/29/19,11:52PM,12/29/19-11:52PM,10,1019.1,53.68,0,1019.27,60.98,0
12/29/19,10:52PM,12/29/19-10:52PM,10,1019.3,47.9,0,1019.25,62.06,0
12/29/19,09:52PM,12/29/19-09:52PM,10,1019.6,47.9,0,1019.59,62.06,0
12/29/19,08:52PM,12/29/19-08:52PM,10,1020.4,47.72,0,1020.28,60.98,0
12/29/19,07:52PM,12/29/19-07:52PM,10,1021.4,45.62,0,1021.31,60.08,0
12/29/19,06:52PM,12/29/19-06:52PM,10,1022.6,45.45,3.44,1022.68,59,
12/29/19,05:52PM,12/29/19-05:52PM,10,1023.2,52.42,5.75,1023.4,55.04,50
12/29/19,04:52PM,12/29/19-04:52PM,10,1022.8,54.52,0,1023.08,53.96,0
12/29/19,03:52PM,12/29/19-03:52PM,10,1022.5,73.39,0,1022.48,48.02,0
12/29/19,02:52PM,12/29/19-02:52PM,10,1022.3,73.39,0,1022.48,48.02,0
12/29/19,01:52PM,12/29/19-01:52PM,10,1021.8,76.43,0,1021.82,46.94,0
12/29/19,12:52PM,12/29/19-12:52PM,10,1021.6,73.39,3.44,1021.8,48.02,360
12/29/19,11:52AM,12/29/19-11:52AM,10,1021.5,76.53,0,1021.8,48.02,0
12/29/19,10:52AM,12/29/19-10:52AM,9,1021.5,76.71,3.44,1021.78,50,20
12/29/19,09:52AM,12/29/19-09:52AM,8,1021.2,83.23,0,1021.45,48.92,0
12/29/19,08:52AM,12/29/19-08:52AM,8,1021,79.95,0,1021.1,50,0
12/29/19,07:52AM,12/29/19-07:52AM,9,1021,82.82,0,1021.09,51.08,0
12/29/19,06:52AM,12/29/19-06:52AM,10,1021.2,79.49,0,1021.42,51.08,0
12/29/19,05:52AM,12/29/19-05:52AM,10,1020.7,76.99,0,1020.72,53.06,0
12/29/19,04:52AM,12/29/19-04:52AM,10,1020.1,74.5,0,1020.37,53.96,0
12/29/19,03:52AM,12/29/19-03:52AM,10,1019.5,77.07,0,1019.69,53.96,0
12/29/19,02:52AM,12/29/19-02:52AM,10,1018.9,69.32,0,1018.99,55.94,0
12/29/19,01:52AM,12/29/19-01:52AM,10,1018.5,66.78,0,1018.63,57.92,0
12/29/19,01:08AM,12/29/19-01:08AM,10,,61.82,0,1018.26,60.08,0
12/29/19,01:04AM,12/29/19-01:04AM,10,,61.82,0,1018.26,60.08,0
12/29/19,12:52AM,12/29/19-12:52AM,10,1018.3,61.82,0,1018.26,60.08,0
12/28/19,11:52PM,12/28/19-11:52PM,10,1017.4,50.06,0,1017.55,62.96,0
12/28/19,10:52PM,12/28/19-10:52PM,10,1017.2,46.25,0,1017.2,64.04,0
12/28/19,09:52PM,12/28/19-09:52PM,10,1017.3,50.06,0,1017.21,62.96,0
12/28/19,08:52PM,12/28/19-08:52PM,10,1017.7,49.58,0,1017.9,62.06,0
12/28/19,07:52PM,12/28/19-07:52PM,10,1018.6,51.51,3.44,1018.59,60.98,
12/28/19,06:52PM,12/28/19-06:52PM,10,1019.4,51.21,0,1019.63,59,0
12/28/19,06:22PM,12/28/19-06:22PM,10,,49.28,4.61,1019.98,57.92,
12/28/19,05:52PM,12/28/19-05:52PM,10,1020.1,45.13,0,1020.33,57.02,0
12/28/19,04:52PM,12/28/19-04:52PM,10,1019.7,54.38,0,1020.04,53.06,0
12/28/19,03:52PM,12/28/19-03:52PM,,1019.3,56.14,0,1019.42,48.92,0
12/28/19,02:52PM,12/28/19-02:52PM,,1018.9,60.34,0,1019.12,46.04,0
12/28/19,01:52PM,12/28/19-01:52PM,10,1018.4,65.31,0,1018.44,46.04,0
12/28/19,12:52PM,12/28/19-12:52PM,10,1017.8,62.55,0,1017.77,46.04,0
12/28/19,11:52AM,12/28/19-11:52AM,10,1017.9,60.61,0,1018.08,48.02,0
12/28/19,10:52AM,12/28/19-10:52AM,10,1017.7,65.31,0,1017.77,46.04,0
12/28/19,09:52AM,12/28/19-09:52AM,10,1017.1,56.14,0,1017.39,48.92,0
12/28/19,08:52AM,12/28/19-08:52AM,10,1016.9,53.92,3.44,1017.04,50,20
12/28/19,07:52AM,12/28/19-07:52AM,10,1016.7,56.3,0,1017.04,50,0
12/28/19,06:52AM,12/28/19-06:52AM,10,1016.4,50.11,0,1016.67,51.98,0
12/28/19,05:52AM,12/28/19-05:52AM,10,1015.9,52.11,0,1015.98,53.06,0
12/28/19,04:52AM,12/28/19-04:52AM,10,1015.7,54.52,3.44,1015.97,53.96,10
12/28/19,03:52AM,12/28/19-03:52AM,10,1015.2,54.68,3.44,1015.28,55.04,
12/28/19,02:52AM,12/28/19-02:52AM,10,1014.7,41.83,3.44,1014.59,55.94,340
12/28/19,01:52AM,12/28/19-01:52AM,10,1013.9,54.97,0,1013.9,57.02,0
12/28/19,12:52AM,12/28/19-12:52AM,10,1013.4,49.27,0,1013.18,60.08,0
12/27/19,11:52PM,12/27/19-11:52PM,10,1012.9,40.77,3.44,1012.82,62.06,
12/27/19,10:52PM,12/27/19-10:52PM,10,1012.4,32.89,4.61,1012.44,64.94,260
12/27/19,09:52PM,12/27/19-09:52PM,10,1012.1,36.71,3.44,1012.12,64.04,250
12/27/19,08:52PM,12/27/19-08:52PM,10,1012.5,38.13,0,1012.47,62.96,0
12/27/19,07:52PM,12/27/19-07:52PM,10,1013.3,38.13,0,1013.48,62.96,0
12/27/19,06:52PM,12/27/19-06:52PM,10,1014.1,39.18,0,1014.19,60.98,0
12/27/19,05:52PM,12/27/19-05:52PM,10,1014.5,38.85,0,1014.55,59,0
12/27/19,04:52PM,12/27/19-04:52PM,10,1014.3,52.11,0,1014.29,53.06,0
12/27/19,03:52PM,12/27/19-03:52PM,10,1014,70.74,0,1014.03,46.94,0
12/27/19,02:52PM,12/27/19-02:52PM,10,1013.6,70.64,0,1013.7,46.04,0
12/27/19,01:52PM,12/27/19-01:52PM,,1013.4,79.54,0,1013.38,44.96,0
12/27/19,12:52PM,12/27/19-12:52PM,10,1012.8,79.54,0,1013.04,44.96,0
12/27/19,11:52AM,12/27/19-11:52AM,10,1012.8,73.79,0,1013.01,46.94,0
12/27/19,10:52AM,12/27/19-10:52AM,10,1012.5,73.39,3.44,1012.66,48.02,100
12/27/19,09:52AM,12/27/19-09:52AM,10,1012.1,68.16,3.44,1012.29,50,90
12/27/19,08:52AM,12/27/19-08:52AM,10,1011.4,54.22,4.61,1011.59,51.98,
12/27/19,07:52AM,12/27/19-07:52AM,10,1012,73.39,0,1011.98,48.02,0
12/27/19,06:52AM,12/27/19-06:52AM,10,1012,68.16,0,1012.29,50,0
12/27/19,05:52AM,12/27/19-05:52AM,10,1011.4,70.86,0,1011.64,48.02,0
12/27/19,04:52AM,12/27/19-04:52AM,10,1010.8,65.67,0,1010.95,48.92,0
12/27/19,03:52AM,12/27/19-03:52AM,10,1010.5,70.96,0,1010.62,48.92,0
12/27/19,02:52AM,12/27/19-02:52AM,10,1010.2,71.19,0,1010.25,51.08,0
12/27/19,01:52AM,12/27/19-01:52AM,10,1009.8,66.05,0,1009.9,51.98,0
12/27/19,12:52AM,12/27/19-12:52AM,10,1009.5,58.91,0,1009.53,53.96,0
12/26/19,11:52PM,12/26/19-11:52PM,10,1009.2,56.63,3.44,1009.18,55.04,100
12/26/19,10:52PM,12/26/19-10:52PM,10,1008.9,54.81,3.44,1008.83,55.94,30
12/26/19,09:52PM,12/26/19-09:52PM,10,1008.5,56.63,0,1008.5,55.04,0
12/26/19,08:52PM,12/26/19-08:52PM,10,1008.7,54.68,4.61,1008.84,55.04,40
12/26/19,07:52PM,12/26/19-07:52PM,10,1009.3,52.42,3.44,1009.52,55.04,
12/26/19,06:52PM,12/26/19-06:52PM,10,1009.8,56.34,5.75,1009.88,53.06,
12/26/19,05:52PM,12/26/19-05:52PM,10,1010.3,60.61,9.22,1010.25,51.08,80
12/26/19,04:52PM,12/26/19-04:52PM,10,1009.8,63.08,10.36,1009.92,50,80
12/26/19,03:52PM,12/26/19-03:52PM,10,1009.3,63.39,8.05,1009.26,48.92,80
12/26/19,02:52PM,12/26/19-02:52PM,10,1008.8,65.56,10.36,1008.93,48.02,90
12/26/19,01:52PM,12/26/19-01:52PM,10,1008.4,70.74,12.66,1008.61,46.94,70
12/26/19,12:52PM,12/26/19-12:52PM,10,1008.2,70.74,8.05,1008.27,46.94,80
12/26/19,11:52AM,12/26/19-11:52AM,8,1006.7,73.39,12.66,1006.9,48.02,90
12/26/19,10:52AM,12/26/19-10:52AM,8,1008.6,83.23,9.22,1008.92,48.92,100
12/26/19,10:26AM,12/26/19-10:26AM,3,,82.74,8.05,1008.91,50,90
12/26/19,10:22AM,12/26/19-10:22AM,2.5,,82.74,8.05,1008.91,50,80
12/26/19,09:52AM,12/26/19-09:52AM,3,1008.9,82.82,9.22,1009.23,51.08,80
12/26/19,08:52AM,12/26/19-08:52AM,6,1009.1,82.88,3.44,1009.22,51.98,
12/26/19,08:25AM,12/26/19-08:25AM,3,,86.31,3.44,1009.56,51.98,100
12/26/19,08:20AM,12/26/19-08:20AM,3,,86.31,3.44,1009.56,51.98,
12/26/19,08:16AM,12/26/19-08:16AM,2.5,,86.31,0,1009.56,51.98,0
12/26/19,08:12AM,12/26/19-08:12AM,2,,86.31,0,1009.56,51.98,0
12/26/19,08:08AM,12/26/19-08:08AM,1.75,,86.31,0,1009.56,51.98,0
12/26/19,07:58AM,12/26/19-07:58AM,2,,86.31,3.44,1009.56,51.98,
12/26/19,07:52AM,12/26/19-07:52AM,1.5,1009.1,82.88,9.22,1009.22,51.98,110
12/26/19,07:42AM,12/26/19-07:42AM,1.75,,82.88,5.75,1009.56,51.98,
12/26/19,07:37AM,12/26/19-07:37AM,2.5,,82.88,6.91,1009.22,51.98,
12/26/19,07:28AM,12/26/19-07:28AM,3,,82.88,11.5,1009.22,51.98,80
12/26/19,07:25AM,12/26/19-07:25AM,0.75,,,,,,
12/26/19,07:22AM,12/26/19-07:22AM,2.5,,82.88,9.22,1009.56,51.98,90
12/26/19,06:55AM,12/26/19-06:55AM,2,,82.88,5.75,1009.9,51.98,110
12/26/19,06:52AM,12/26/19-06:52AM,2,1009.7,82.88,8.05,1009.9,51.98,100
12/26/19,06:47AM,12/26/19-06:47AM,2.5,,76.52,9.22,1009.88,53.06,100
12/26/19,06:34AM,12/26/19-06:34AM,3,,79.65,10.36,1009.88,53.06,90
12/26/19,06:26AM,12/26/19-06:26AM,2.5,,79.65,8.05,1010.22,53.06,90
12/26/19,06:02AM,12/26/19-06:02AM,2.5,,79.65,8.05,1009.88,53.06,80
12/26/19,05:52AM,12/26/19-05:52AM,3,1010.2,76.99,6.91,1010.22,53.06,
12/26/19,04:52AM,12/26/19-04:52AM,10,1009.7,64.3,6.91,1009.85,55.94,80
12/26/19,03:52AM,12/26/19-03:52AM,10,1010.9,61.84,6.91,1011.19,57.02,
12/26/19,02:52AM,12/26/19-02:52AM,10,1011.4,61.84,5.75,1011.53,57.02,
12/26/19,01:52AM,12/26/19-01:52AM,10,1012.1,59.87,8.05,1012.19,57.92,130
12/26/19,12:52AM,12/26/19-12:52AM,10,1012.2,55.49,0,1012.19,57.92,0
12/25/19,11:52PM,12/25/19-11:52PM,10,1012.7,55.49,3.44,1012.87,57.92,160
12/25/19,10:52PM,12/25/19-10:52PM,10,1013.1,55.27,3.44,1013.19,59,250
12/25/19,09:52PM,12/25/19-09:52PM,10,1013.3,49.27,4.61,1013.52,60.08,270
12/25/19,08:52PM,12/25/19-08:52PM,10,1013.6,49.27,4.61,1013.52,60.08,
12/25/19,07:52PM,12/25/19-07:52PM,10,1014.3,53.18,3.44,1014.54,60.08,
12/25/19,07:22PM,12/25/19-07:22PM,10,,57.45,0,1014.9,57.92,0
12/25/19,07:11PM,12/25/19-07:11PM,10,,57.45,0,1015.24,57.92,0
12/25/19,06:52PM,12/25/19-06:52PM,10,1015.2,57.45,0,1015.24,57.92,0
12/25/19,05:52PM,12/25/19-05:52PM,10,1015.6,61.69,3.44,1015.6,55.94,80
12/25/19,05:15PM,12/25/19-05:15PM,10,,62.48,5.75,1015.27,55.94,100
12/25/19,04:52PM,12/25/19-04:52PM,10,1015,61.57,4.61,1015.28,55.04,100
12/25/19,04:46PM,12/25/19-04:46PM,10,,61.57,4.61,1014.94,55.04,
12/25/19,03:52PM,12/25/19-03:52PM,10,1014.4,66.19,3.44,1014.63,53.06,80
12/25/19,03:48PM,12/25/19-03:48PM,10,,66.19,3.44,1014.63,53.06,
12/25/19,03:16PM,12/25/19-03:16PM,10,,68.87,4.61,1014.3,51.98,90
12/25/19,02:52PM,12/25/19-02:52PM,10,1013.8,68.87,4.61,1013.96,51.98,90
12/25/19,02:48PM,12/25/19-02:48PM,10,,68.87,3.44,1013.96,51.98,90
12/25/19,01:52PM,12/25/19-01:52PM,10,1013.1,71.19,4.61,1013.3,51.08,90
12/25/19,12:52PM,12/25/19-12:52PM,10,1012.4,68.87,3.44,1012.61,51.98,90
12/25/19,11:52AM,12/25/19-11:52AM,10,1012.5,68.87,3.44,1012.61,51.98,80
12/25/19,10:52AM,12/25/19-10:52AM,10,1012.6,68.52,4.61,1012.93,53.06,90
12/25/19,09:52AM,12/25/19-09:52AM,10,1012.5,71.41,4.61,1012.59,53.06,100
12/25/19,08:52AM,12/25/19-08:52AM,10,1012.2,71.41,3.44,1012.25,53.06,90
12/25/19,07:52AM,12/25/19-07:52AM,10,1012.2,69.1,3.44,1012.24,53.96,
12/25/19,06:52AM,12/25/19-06:52AM,10,1012.1,69.1,4.61,1012.24,53.96,100
12/25/19,05:52AM,12/25/19-05:52AM,10,1011.9,69.1,3.44,1012.24,53.96,100
12/25/19,04:52AM,12/25/19-04:52AM,10,1011.5,69.1,3.44,1011.57,53.96,90
12/25/19,03:52AM,12/25/19-03:52AM,10,1011.5,63.74,0,1011.55,55.04,0
12/25/19,02:52AM,12/25/19-02:52AM,10,1011.1,59.6,0,1011.2,55.94,0
12/25/19,01:52AM,12/25/19-01:52AM,10,1011.1,57.32,0,1011.19,57.02,0
12/25/19,12:52AM,12/25/19-12:52AM,10,1011.2,59.87,0,1011.18,57.92,0
12/24/19,11:52PM,12/24/19-11:52PM,10,1011,57.6,6.91,1011.16,59,260
12/24/19,10:52PM,12/24/19-10:52PM,10,1010.6,51.51,3.44,1010.8,60.98,250
12/24/19,09:52PM,12/24/19-09:52PM,10,1010.3,57.88,6.91,1010.46,60.98,
12/24/19,08:52PM,12/24/19-08:52PM,10,1010,50.06,5.75,1010.1,62.96,250
12/24/19,07:52PM,12/24/19-07:52PM,10,1010.5,47.9,0,1010.45,62.06,0
12/24/19,06:52PM,12/24/19-06:52PM,10,1011.6,51.37,0,1011.49,60.08,0
12/24/19,05:52PM,12/24/19-05:52PM,10,1012.4,57.6,0,1012.52,59,0
12/24/19,04:52PM,12/24/19-04:52PM,10,1012.1,69.1,0,1012.24,53.96,0
12/24/19,03:52PM,12/24/19-03:52PM,10,1011.4,79.95,0,1011.62,50,0
12/24/19,02:52PM,12/24/19-02:52PM,9,1011.1,82.6,0,1011.3,48.02,0
12/24/19,01:52PM,12/24/19-01:52PM,10,1010.7,83.23,0,1010.95,48.92,0
12/24/19,12:52PM,12/24/19-12:52PM,8,1010.6,83.23,0,1010.62,48.92,0
12/24/19,11:52AM,12/24/19-11:52AM,8,1010.4,83.23,0,1010.62,48.92,0
12/24/19,10:52AM,12/24/19-10:52AM,10,1010.7,79.49,0,1010.93,51.08,0
12/24/19,09:52AM,12/24/19-09:52AM,9,1010.6,86.2,0,1010.94,50,0
12/24/19,08:52AM,12/24/19-08:52AM,9,1010.6,82.82,0,1010.93,51.08,0
12/24/19,07:52AM,12/24/19-07:52AM,10,1010.6,80.11,0,1010.91,51.98,0
12/24/19,06:52AM,12/24/19-06:52AM,9,1010.9,80.11,0,1011.25,51.98,0
12/24/19,05:52AM,12/24/19-05:52AM,10,1011.1,82.88,0,1011.25,51.98,0
12/24/19,04:52AM,12/24/19-04:52AM,10,1011,77.07,0,1011.23,53.96,0
12/24/19,03:52AM,12/24/19-03:52AM,10,1010.6,74.69,0,1010.86,55.94,0
12/24/19,03:42AM,12/24/19-03:42AM,10,,77.17,0,1010.54,55.04,0
12/24/19,03:35AM,12/24/19-03:35AM,10,,77.17,3.44,1010.54,55.04,
12/24/19,03:24AM,12/24/19-03:24AM,10,,77.17,0,1010.54,55.04,0
12/24/19,02:52AM,12/24/19-02:52AM,10,1010.2,77.17,0,1010.2,55.04,0
12/24/19,01:52AM,12/24/19-01:52AM,10,1009.3,74.1,5.75,1009.52,55.04,
12/24/19,12:52AM,12/24/19-12:52AM,10,1009.2,71.72,5.75,1009.51,55.94,
12/23/19,11:52PM,12/23/19-11:52PM,10,1009.3,64.55,5.75,1009.48,57.92,100
12/23/19,10:52PM,12/23/19-10:52PM,10,1008.5,64.55,5.75,1008.81,57.92,140
12/23/19,08:52PM,12/23/19-08:52PM,10,1008.6,59.61,4.61,1008.79,59,
12/23/19,07:52PM,12/23/19-07:52PM,10,1009.3,61.96,11.5,1009.48,57.92,100
12/23/19,06:52PM,12/23/19-06:52PM,10,1010.4,57.6,5.75,1010.49,59,
12/23/19,05:52PM,12/23/19-05:52PM,10,1010.9,59.87,6.91,1011.18,57.92,90
12/23/19,04:52PM,12/23/19-04:52PM,10,1010.3,66.54,9.22,1010.52,55.94,90
12/23/19,03:52PM,12/23/19-03:52PM,10,1009,66.43,12.66,1009.18,55.04,70
12/23/19,02:52PM,12/23/19-02:52PM,6,1010.3,71.51,11.5,1010.55,53.96,90
12/23/19,01:52PM,12/23/19-01:52PM,10,1010.1,66.43,11.5,1010.2,55.04,80
12/23/19,12:52PM,12/23/19-12:52PM,10,1010.1,71.51,13.8,1010.21,53.96,90
12/23/19,11:52AM,12/23/19-11:52AM,9,1009.7,71.51,8.05,1009.87,53.96,90
12/23/19,11:04AM,12/23/19-11:04AM,3,,76.99,13.8,1010.56,53.06,90
12/23/19,10:52AM,12/23/19-10:52AM,2.5,1011.1,76.99,10.36,1011.24,53.06,90
12/23/19,09:52AM,12/23/19-09:52AM,4,1010.8,71.51,9.22,1010.89,53.96,100
12/23/19,09:41AM,12/23/19-09:41AM,3,,71.51,6.91,1010.89,53.96,90
12/23/19,09:34AM,12/23/19-09:34AM,2.5,,74.5,8.05,1010.89,53.96,100
12/23/19,08:52AM,12/23/19-08:52AM,9,1009.7,68.75,10.36,1009.86,55.04,90
12/23/19,07:52AM,12/23/19-07:52AM,3,1011.1,77.07,11.5,1011.23,53.96,90
12/23/19,07:23AM,12/23/19-07:23AM,3,,74.1,9.22,1012.23,55.04,70
12/23/19,07:16AM,12/23/19-07:16AM,3,,77.07,8.05,1011.9,53.96,70
12/23/19,07:11AM,12/23/19-07:11AM,2,,80.27,8.05,1011.9,53.96,60
12/23/19,07:07AM,12/23/19-07:07AM,1.75,,80.27,8.05,1011.9,53.96,70
12/23/19,06:52AM,12/23/19-06:52AM,2,1011.7,77.17,6.91,1011.89,55.04,
12/23/19,06:36AM,12/23/19-06:36AM,2,,79.81,6.91,1011.89,55.04,60
12/23/19,06:25AM,12/23/19-06:25AM,1.75,,77.25,5.75,1011.88,55.94,
12/23/19,06:19AM,12/23/19-06:19AM,2.5,,74.3,5.75,1011.87,57.02,
12/23/19,05:52AM,12/23/19-05:52AM,4,1011.2,77.94,5.75,1011.52,57.92,80
12/23/19,05:45AM,12/23/19-05:45AM,3,,80.58,5.75,1011.52,57.92,70
12/23/19,05:31AM,12/23/19-05:31AM,2.5,,74.99,6.91,1011.5,59,90
12/23/19,04:52AM,12/23/19-04:52AM,4,1011.7,64.38,3.44,1011.83,60.08,
12/23/19,03:52AM,12/23/19-03:52AM,10,1010.8,39.68,5.75,1011.1,64.04,
12/23/19,02:52AM,12/23/19-02:52AM,10,1010.9,51.97,5.75,1011.1,64.04,
12/23/19,01:52AM,12/23/19-01:52AM,10,1011.2,57.92,5.75,1011.1,64.04,130
12/23/19,12:52AM,12/23/19-12:52AM,10,1011.2,57.92,4.61,1011.44,64.04,120
12/22/19,11:52PM,12/22/19-11:52PM,10,1011.7,56.13,5.75,1011.77,64.94,
12/22/19,10:52PM,12/22/19-10:52PM,10,1011.9,45.14,5.75,1012.08,66.92,
12/22/19,09:52PM,12/22/19-09:52PM,10,1012,40.43,4.61,1012.08,66.92,
12/22/19,08:52PM,12/22/19-08:52PM,10,1012.7,40.5,,1012.73,69.08,
12/22/19,07:52PM,12/22/19-07:52PM,10,1013.9,41.85,4.61,1014.11,66.92,
12/22/19,06:52PM,12/22/19-06:52PM,10,1014.9,37.19,5.75,1015.13,66.92,110
12/22/19,05:52PM,12/22/19-05:52PM,10,1015.4,31.51,5.75,1015.49,64.94,
12/22/19,04:52PM,12/22/19-04:52PM,10,1014.7,28.46,0,1014.86,60.98,0
12/22/19,03:52PM,12/22/19-03:52PM,10,1014.2,27.07,5.75,1014.2,60.08,
12/22/19,02:52PM,12/22/19-02:52PM,10,1014,28.13,5.75,1014.21,59,90
12/22/19,01:52PM,12/22/19-01:52PM,10,1014.4,38.34,0,1014.59,55.94,0
12/22/19,12:52PM,12/22/19-12:52PM,10,1013.4,27.07,5.75,1013.52,60.08,90
12/22/19,11:52AM,12/22/19-11:52AM,10,1013.9,28.1,4.61,1014.2,60.08,90
12/22/19,10:52AM,12/22/19-10:52AM,10,1014.8,41.83,0,1014.93,55.94,0
12/22/19,09:52AM,12/22/19-09:52AM,10,1014.6,43.36,0,1014.93,55.94,0
12/22/19,08:52AM,12/22/19-08:52AM,10,1014.4,46.92,0,1014.59,55.94,0
12/22/19,07:52AM,12/22/19-07:52AM,10,1014.7,48.97,0,1014.93,55.94,0
12/22/19,06:52AM,12/22/19-06:52AM,10,1015,43.69,0,1015.24,57.92,0
12/22/19,05:52AM,12/22/19-05:52AM,10,1015.1,28.78,0,1015.18,62.96,0
12/22/19,04:52AM,12/22/19-04:52AM,10,1015.3,39.03,0,1015.55,60.08,0
12/22/19,03:52AM,12/22/19-03:52AM,10,1015.3,32.19,0,1015.53,62.06,0
12/22/19,02:52AM,12/22/19-02:52AM,10,1015.4,32.19,0,1015.53,62.06,0
12/22/19,01:52AM,12/22/19-01:52AM,10,1015.6,29.85,0,1015.52,62.96,0
12/22/19,12:52AM,12/22/19-12:52AM,10,1015.8,25.87,0,1015.82,66.02,0
12/21/19,11:52PM,12/21/19-11:52PM,10,1015.9,20.2,0,1016.08,71.96,0
12/21/19,10:52PM,12/21/19-10:52PM,10,1016.1,15.45,0,1016.06,73.94,0
12/21/19,09:52PM,12/21/19-09:52PM,10,1016.6,18.21,3.44,1016.74,73.94,130
12/21/19,08:52PM,12/21/19-08:52PM,10,1017.4,20.36,0,1017.42,73.04,0
12/21/19,07:52PM,12/21/19-07:52PM,10,1018.8,21.11,0,1018.79,71.96,0
12/21/19,06:52PM,12/21/19-06:52PM,10,1019.6,19.78,4.61,1019.5,69.08,90
12/21/19,05:52PM,12/21/19-05:52PM,10,1020.2,21.98,0,1020.22,66.02,0
